#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
82.900000    107.000000 9.000000 1.000000    49407539.503485 43847.428115 0.100000
83.900000    107.000000 9.000000 1.000000    49407823.935073 43676.844984 0.100000
84.900000    107.000000 9.000000 1.000000    49408085.133315 43696.544183 0.100000
85.900000    107.000000 9.000000 1.000000    49408325.068081 43784.808202 0.100000
86.900000    108.000000 9.000000 1.000000    49408545.535724 43800.874247 0.100000
87.900000    108.000000 9.000000 1.000000    49408748.174945 43920.065642 0.100000
88.900000    108.000000 9.000000 1.000000    49408934.481176 43767.827793 0.100000
89.900000    108.000000 9.000000 1.000000    49409105.819579 43874.031550 0.100000
90.900000    110.000000 9.000000 1.000000    49409263.436844 43883.970806 0.100000
91.900000    110.000000 9.000000 1.000000    49409408.471851 44142.277531 0.100000
92.900000    110.000000 9.000000 1.000000    49409541.965360 44201.631182 0.100000
93.900000    111.000000 9.000000 1.000000    49409664.868782 44247.753592 0.100000
94.900000    111.000000 9.000000 1.000000    49409778.052143 44186.193786 0.100000
95.900000    111.000000 9.000000 1.000000    49409882.311320 44098.298246 0.100000
96.900000    112.000000 9.000000 1.000000    49409978.374583 43990.334947 0.100000
97.900000    112.000000 9.000000 1.000000    49410066.908574 44095.770541 0.100000
98.900000    113.000000 9.000000 1.000000    49410148.523705 43995.729138 0.100000
99.900000    113.000000 9.000000 1.000000    49410223.779087 44088.366697 0.100000
100.900000    113.000000 9.000000 1.000000    49410293.187003 44063.325979 0.100000
101.900000    113.000000 9.000000 1.000000    49410357.216967 44069.976787 0.100000
102.900000    113.000000 9.000000 1.000000    49410416.299453 44096.377789 0.100000
103.900000    113.000000 9.000000 1.000000    49410470.829230 44147.022110 0.100000
104.900000    113.000000 9.000000 1.000000    49410521.168457 44230.223508 0.100000
105.900000    113.000000 9.000000 1.000000    49410567.649465 44192.303310 0.100000
106.900000    114.000000 9.000000 1.000000    49410610.577307 44038.087324 0.100000
107.900000    114.000000 9.000000 1.000000    49410650.232085 43822.880107 0.100000
108.900000    113.000000 9.000000 1.000000    49410686.871051 43887.744383 0.100000
109.900000    113.000000 9.000000 1.000000    49410720.730556 43774.723473 0.100000
110.900000    113.000000 9.000000 1.000000    49410752.027790 43595.915270 0.100000
111.900000    113.000000 9.000000 1.000000    49410780.962417 43463.927707 0.100000
112.900000    113.000000 9.000000 1.000000    49410807.718009 43592.191187 0.100000
113.900000    113.000000 9.000000 1.000000    49410832.463418 43593.003194 0.100000
114.900000    113.000000 9.000000 1.000000    49410855.353982 43487.984925 0.100000
115.900000    113.000000 9.000000 1.000000    49410876.532642 43397.042508 0.100000
116.900000    114.000000 9.000000 1.000000    49410896.130976 43326.459266 0.100000
117.900000    115.000000 9.000000 1.000000    49410914.270132 43425.767626 0.100000
118.900000    115.000000 9.000000 1.000000    49410931.061676 43344.615633 0.100000
119.900000    115.000000 9.000000 1.000000    49410946.608382 43381.097939 0.100000
120.900000    116.000000 9.000000 1.000000    49410961.004949 43609.815205 0.100000
121.900000    117.000000 9.000000 1.000000    49410974.338648 43846.337061 0.100000
122.900000    117.000000 9.000000 1.000000    49410986.689937 44215.720797 0.100000
123.900000    117.000000 9.000000 1.000000    49410998.133005 44629.163094 0.100000
124.900000    117.000000 9.000000 1.000000    49411008.736271 44685.201463 0.100000
125.900000    118.000000 9.000000 1.000000    49411018.562856 44782.501361 0.100000
126.900000    119.000000 9.000000 1.000000    49411027.670995 44749.611397 0.100000
127.900000    119.000000 9.000000 1.000000    49411036.114445 44836.723057 0.100000
128.900000    119.000000 8.000000 1.000000    49411043.942822 44685.655702 0.100000
129.900000    119.000000 8.000000 1.000000    49411051.201941 44310.885906 0.100000
130.900000    119.000000 8.000000 1.000000    49411057.934115 43925.974793 0.100000
131.900000    118.000000 8.000000 1.000000    49411064.178422 43666.593753 0.100000
132.900000    118.000000 8.000000 1.000000    49411069.970979 43279.202213 0.100000
133.900000    117.000000 8.000000 1.000000    49411075.345147 42846.685840 0.100000
134.900000    117.000000 8.000000 1.000000    49411080.331767 42574.274197 0.100000
135.900000    118.000000 8.000000 1.000000    49411084.959356 42236.423860 0.100000
136.900000    118.000000 8.000000 1.000000    49411089.254271 41961.626539 0.100000
137.900000    118.000000 8.000000 1.000000    49411093.240895 41786.376667 0.100000
138.900000    118.000000 8.000000 1.000000    49411096.941781 41653.196518 0.100000
139.900000    119.000000 8.000000 1.000000    49411100.377789 41529.712370 0.100000
140.900000    121.000000 8.000000 1.000000    49411103.568226 41290.857894 0.100000
141.900000    122.000000 8.000000 1.000000    49411106.530960 40995.837668 0.100000
142.900000    122.000000 8.000000 1.000000    49411109.282526 40680.654718 0.100000
143.900000    123.000000 8.000000 1.000000    49411111.838239 40475.871714 0.100000
144.900000    123.000000 8.000000 1.000000    49411114.212274 40228.073753 0.100000
145.900000    125.000000 8.000000 1.000000    49411116.417758 39901.747077 0.100000
146.900000    125.000000 8.000000 1.000000    49411118.466854 39726.405404 0.100000
147.900000    125.000000 8.000000 1.000000    49411120.370831 39669.808813 0.100000
148.900000    125.000000 8.000000 1.000000    49411122.140123 39619.071322 0.100000
149.900000    125.000000 8.000000 1.000000    49411123.784403 39660.475986 0.100000
150.900000    125.000000 8.000000 1.000000    49411125.312640 39579.224005 0.100000
151.900000    126.000000 8.000000 1.000000    49411126.733139 39553.397775 0.100000
152.900000    126.000000 8.000000 1.000000    49411128.053606 39562.887423 0.100000
153.900000    126.000000 8.000000 1.000000    49411129.281186 39537.466707 0.100000
154.900000    126.000000 8.000000 1.000000    49411130.422499 39390.972865 0.100000
155.900000    126.000000 8.000000 1.000000    49411131.483693 39235.727225 0.100000
156.900000    126.000000 8.000000 1.000000    49411132.470465 39378.180547 0.100000
157.900000    126.000000 8.000000 1.000000    49411133.388099 39362.841638 0.100000
158.900000    126.000000 8.000000 1.000000    49411134.241504 39490.633901 0.100000
159.900000    126.000000 8.000000 1.000000    49411135.035229 39688.526045 0.100000
160.900000    126.000000 8.000000 1.000000    49411135.773498 39574.961675 0.100000
161.900000    126.000000 8.000000 1.000000    49411136.460233 39498.387710 0.100000
162.900000    127.000000 8.000000 1.000000    49411137.099068 39372.375288 0.100000
163.900000    128.000000 8.000000 1.000000    49411137.693386 39225.088492 0.100000
164.900000    128.000000 8.000000 1.000000    49411138.246324 39046.197830 0.100000
165.900000    128.000000 8.000000 1.000000    49411138.760791 38930.263543 0.100000
166.900000    128.000000 8.000000 1.000000    49411139.239494 38616.572091 0.100000
167.900000    129.000000 8.000000 1.000000    49411139.684943 38481.773096 0.100000
168.900000    129.000000 8.000000 1.000000    49411140.099472 38561.994828 0.100000
169.900000    129.000000 8.000000 1.000000    49411140.485250 38464.489250 0.100000
170.900000    129.000000 8.000000 1.000000    49411140.844290 38416.570725 0.100000
171.900000    129.000000 8.000000 1.000000    49411141.178462 38318.294079 0.100000
172.900000    129.000000 8.000000 1.000000    49411141.489504 38222.631680 0.100000
173.900000    129.000000 8.000000 1.000000    49411141.779030 38272.860626 0.100000
174.900000    129.000000 8.000000 1.000000    49411142.048545 38456.818689 0.100000
175.900000    129.000000 8.000000 1.000000    49411142.299442 38325.828381 0.100000
176.900000    129.000000 8.000000 1.000000    49411142.533016 38213.238991 0.100000
177.900000    129.000000 8.000000 1.000000    49411142.750477 38127.455336 0.100000
178.900000    130.000000 8.000000 1.000000    49411142.952940 38103.131057 0.100000
179.900000    130.000000 8.000000 1.000000    49411143.141454 38321.101132 0.100000
180.900000    130.000000 8.000000 1.000000    49411143.316983 38385.168775 0.100000
181.900000    130.000000 8.000000 1.000000    49411143.480429 38585.247346 0.100000
182.900000    130.000000 8.000000 1.000000    49411143.632630 38598.398993 0.100000
183.900000    130.000000 8.000000 1.000000    49411143.774366 38634.571733 0.100000
184.900000    130.000000 8.000000 1.000000    49411143.906361 38576.254188 0.100000
185.900000    130.000000 8.000000 1.000000    49411144.029287 38464.826481 0.100000
186.900000    130.000000 8.000000 1.000000    49411144.143774 38492.947805 0.100000
187.900000    130.000000 8.000000 1.000000    49411144.250405 38385.332035 0.100000
188.900000    130.000000 8.000000 1.000000    49411144.349722 38367.005226 0.100000
189.900000    130.000000 8.000000 1.000000    49411144.442229 38359.660638 0.100000
190.900000    130.000000 8.000000 1.000000    49411144.528394 38155.185326 0.100000
191.900000    131.000000 8.000000 1.000000    49411144.608660 38041.811186 0.100000
192.900000    132.000000 8.000000 1.000000    49411144.683430 38100.389893 0.100000
193.900000    132.000000 8.000000 1.000000    49411144.753079 38247.436796 0.100000
194.900000    132.000000 8.000000 1.000000    49411144.817965 38315.515242 0.100000
195.900000    132.000000 8.000000 1.000000    49411144.878413 38271.765619 0.100000
196.900000    132.000000 8.000000 1.000000    49411144.934730 38288.121060 0.100000
197.900000    132.000000 8.000000 1.000000    49411144.987196 38254.709891 0.100000
198.900000    133.000000 8.000000 1.000000    49411145.036079 38238.636426 0.100000
199.900000    133.000000 8.000000 1.000000    49411145.081625 38260.170457 0.100000
200.900000    133.000000 8.000000 1.000000    49411145.124060 38223.208418 0.100000
201.900000    134.000000 8.000000 1.000000    49411145.163602 38323.015894 0.100000
202.900000    136.000000 8.000000 1.000000    49411145.200445 38210.330929 0.100000
203.900000    136.000000 8.000000 1.000000    49411145.234775 38275.062035 0.100000
204.900000    136.000000 8.000000 1.000000    49411145.266766 38277.908054 0.100000
205.900000    136.000000 8.000000 1.000000    49411145.296575 38342.935867 0.100000
206.900000    136.000000 8.000000 1.000000    49411145.324354 38209.608649 0.100000
207.900000    137.000000 8.000000 1.000000    49411145.350242 38190.819294 0.100000
208.900000    137.000000 8.000000 1.000000    49411145.374367 38195.209619 0.100000
209.900000    137.000000 8.000000 1.000000    49411145.396849 38175.888243 0.100000
210.900000    137.000000 8.000000 1.000000    49411145.417801 38276.272071 0.100000
211.900000    138.000000 8.000000 1.000000    49411145.437329 38390.337310 0.100000
212.900000    138.000000 8.000000 1.000000    49411145.455527 38372.119126 0.100000
213.900000    138.000000 8.000000 1.000000    49411145.472488 38273.831069 0.100000
214.900000    139.000000 8.000000 1.000000    49411145.488297 38293.256627 0.100000
215.900000    139.000000 8.000000 1.000000    49411145.503030 38345.582628 0.100000
