#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
82.900000    974.000000 1.000000 20.000000    49407539.503485 9519.517885 0.100000
83.900000    976.000000 1.000000 20.000000    49407823.935073 9063.318694 0.100000
84.900000    976.000000 1.000000 20.000000    49408085.133315 8648.875664 0.100000
85.900000    978.000000 1.000000 20.000000    49408325.068081 8242.413672 0.100000
86.900000    980.000000 1.000000 20.000000    49408545.535724 7872.385451 0.100000
87.900000    979.000000 1.000000 20.000000    49408748.174945 7569.331129 0.100000
88.900000    982.000000 1.000000 20.000000    49408934.481176 7322.530329 0.100000
89.900000    984.000000 1.000000 20.000000    49409105.819579 7080.967241 0.100000
90.900000    985.000000 1.000000 20.000000    49409263.436844 6825.656147 0.100000
91.900000    985.000000 1.000000 20.000000    49409408.471851 6625.726463 0.100000
92.900000    986.000000 1.000000 20.000000    49409541.965360 6443.798103 0.100000
93.900000    988.000000 1.000000 20.000000    49409664.868782 6309.474905 0.100000
94.900000    990.000000 1.000000 20.000000    49409778.052143 6123.135460 0.100000
95.900000    993.000000 1.000000 20.000000    49409882.311320 6021.802797 0.100000
96.900000    994.000000 1.000000 20.000000    49409978.374583 5864.767138 0.100000
97.900000    995.000000 1.000000 20.000000    49410066.908574 5757.830801 0.100000
98.900000    996.000000 1.000000 20.000000    49410148.523705 5661.735802 0.100000
99.900000    997.000000 1.000000 20.000000    49410223.779087 5571.145571 0.100000
100.900000    999.000000 1.000000 20.000000    49410293.187003 5525.428434 0.100000
101.900000    1001.000000 1.000000 20.000000    49410357.216967 5450.870138 0.100000
102.900000    1001.000000 1.000000 20.000000    49410416.299453 5350.184098 0.100000
103.900000    1002.000000 1.000000 20.000000    49410470.829230 5256.795516 0.100000
104.900000    1002.000000 1.000000 20.000000    49410521.168457 5171.954000 0.100000
105.900000    1005.000000 1.000000 20.000000    49410567.649465 5127.997699 0.100000
106.900000    1005.000000 1.000000 20.000000    49410610.577307 5055.702877 0.100000
107.900000    1005.000000 1.000000 20.000000    49410650.232085 5053.158208 0.100000
108.900000    1004.000000 1.000000 20.000000    49410686.871051 5025.140851 0.100000
109.900000    1004.000000 1.000000 20.000000    49410720.730556 4961.732176 0.100000
110.900000    1004.000000 1.000000 20.000000    49410752.027790 4904.462774 0.100000
111.900000    1006.000000 1.000000 20.000000    49410780.962417 4852.854777 0.100000
112.900000    1006.000000 1.000000 20.000000    49410807.718009 4806.310391 0.100000
113.900000    1008.000000 1.000000 20.000000    49410832.463418 4764.305761 0.100000
114.900000    1008.000000 1.000000 20.000000    49410855.353982 4754.565390 0.100000
115.900000    1012.000000 1.000000 20.000000    49410876.532642 4725.673868 0.100000
116.900000    1012.000000 1.000000 20.000000    49410896.130976 4759.695467 0.100000
117.900000    1013.000000 1.000000 20.000000    49410914.270132 4726.457735 0.100000
118.900000    1013.000000 1.000000 20.000000    49410931.061676 4759.744347 0.100000
119.900000    1013.000000 1.000000 20.000000    49410946.608382 4789.450947 0.100000
120.900000    1014.000000 1.000000 20.000000    49410961.004949 4788.904104 0.100000
121.900000    1014.000000 1.000000 20.000000    49410974.338648 4749.256857 0.100000
122.900000    1014.000000 1.000000 20.000000    49410986.689937 4747.346070 0.100000
123.900000    1014.000000 1.000000 20.000000    49410998.133005 4745.196473 0.100000
124.900000    1014.000000 1.000000 20.000000    49411008.736271 4750.771683 0.100000
125.900000    1015.000000 1.000000 20.000000    49411018.562856 4793.214687 0.100000
126.900000    1015.000000 1.000000 20.000000    49411027.670995 4788.422375 0.100000
127.900000    1015.000000 1.000000 20.000000    49411036.114445 4797.031899 0.100000
128.900000    1016.000000 1.000000 20.000000    49411043.942822 4868.286206 0.100000
