#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
82.900000    107.000000 10.000000 1.000000    49407539.503485 47816.308048 0.100000
83.900000    107.000000 10.000000 1.000000    49407823.935073 47789.196100 0.100000
84.900000    108.000000 10.000000 1.000000    49408085.133315 47873.644751 0.100000
85.900000    108.000000 10.000000 1.000000    49408325.068081 47851.869743 0.100000
86.900000    108.000000 10.000000 1.000000    49408545.535724 47861.524521 0.100000
87.900000    108.000000 10.000000 1.000000    49408748.174945 47999.032853 0.100000
88.900000    108.000000 10.000000 1.000000    49408934.481176 47994.075698 0.100000
89.900000    109.000000 10.000000 1.000000    49409105.819579 48143.962316 0.100000
90.900000    110.000000 10.000000 1.000000    49409263.436844 48220.805599 0.100000
91.900000    111.000000 10.000000 1.000000    49409408.471851 48431.796263 0.100000
92.900000    111.000000 10.000000 1.000000    49409541.965360 48460.237021 0.100000
93.900000    111.000000 10.000000 1.000000    49409664.868782 48482.541395 0.100000
94.900000    111.000000 10.000000 1.000000    49409778.052143 48499.789439 0.100000
95.900000    111.000000 10.000000 1.000000    49409882.311320 48607.049791 0.100000
96.900000    112.000000 10.000000 1.000000    49409978.374583 48677.920801 0.100000
97.900000    112.000000 10.000000 1.000000    49410066.908574 48676.677977 0.100000
98.900000    113.000000 10.000000 1.000000    49410148.523705 48681.816640 0.100000
99.900000    113.000000 10.000000 1.000000    49410223.779087 48843.313501 0.100000
100.900000    113.000000 10.000000 1.000000    49410293.187003 48840.699168 0.100000
101.900000    113.000000 10.000000 1.000000    49410357.216967 48896.212816 0.100000
102.900000    113.000000 10.000000 1.000000    49410416.299453 48827.822044 0.100000
103.900000    113.000000 10.000000 1.000000    49410470.829230 49009.682957 0.100000
104.900000    113.000000 10.000000 1.000000    49410521.168457 48988.333511 0.100000
105.900000    113.000000 10.000000 1.000000    49410567.649465 48999.656929 0.100000
106.900000    113.000000 10.000000 1.000000    49410610.577307 48874.159852 0.100000
107.900000    114.000000 10.000000 1.000000    49410650.232085 48822.852154 0.100000
108.900000    113.000000 10.000000 1.000000    49410686.871051 48861.928807 0.100000
109.900000    113.000000 10.000000 1.000000    49410720.730556 48848.775816 0.100000
110.900000    113.000000 10.000000 1.000000    49410752.027790 48715.480485 0.100000
111.900000    113.000000 10.000000 1.000000    49410780.962417 48786.145310 0.100000
112.900000    113.000000 10.000000 1.000000    49410807.718009 48801.479151 0.100000
113.900000    113.000000 10.000000 1.000000    49410832.463418 48979.331483 0.100000
114.900000    113.000000 10.000000 1.000000    49410855.353982 49162.461351 0.100000
115.900000    113.000000 10.000000 1.000000    49410876.532642 49182.552755 0.100000
116.900000    113.000000 10.000000 1.000000    49410896.130976 49215.367403 0.100000
117.900000    114.000000 10.000000 1.000000    49410914.270132 49416.712283 0.100000
118.900000    114.000000 10.000000 1.000000    49410931.061676 49544.115086 0.100000
119.900000    115.000000 10.000000 1.000000    49410946.608382 49495.179705 0.100000
120.900000    116.000000 10.000000 1.000000    49410961.004949 49748.536964 0.100000
121.900000    117.000000 10.000000 1.000000    49410974.338648 49785.041954 0.100000
122.900000    117.000000 10.000000 1.000000    49410986.689937 49964.691574 0.100000
123.900000    117.000000 10.000000 1.000000    49410998.133005 49921.774749 0.100000
